short_descriptions,priority
pc is not charging,LOW
office outlook not responding email mobile email,LOW
re optum claims cdm files otsuka ses,MEDIUM
jabber phone services mobile phone services not connected,LOW
pl access to q environment,MEDIUM
it corner concierge,LOW
unapplied eleaves captured in the myerm tool,LOW
re system issue,LOW
id request for pc reuse,LOW
machine issue when docked to the docking station,LOW
server is unavailable,MEDIUM
homes is almost full of marcaussis region need to extend,LOW
sw downloading takes too long time from finland to nj lab,LOW
pfizer com logmonitor unix linux networking errors escalate and investigate issues asap unix syslog pfeunix networking errors linux,HIGH
request for ceme table update add asset type to commodity code for german entities,LOW
it corner concierge,LOW
it corner concierge,LOW
software center not working,LOW
user kharitonov ev ural rt ru getting sso error,LOW
delete from shipment id,LOW
bydgoszcz frankfurt sih link was flapping and currently down,HIGH
active directory and citrix,MEDIUM
supplier not found in i buy,LOW
apac pfizer com cpqsmselftesterror intel,HIGH
fi intune getting error device limit reached need assistance to clear older device,LOW
error when loading cny fx rates into sap,MEDIUM
it corner concierge,LOW
hardware audio devices are not working properly,LOW
support portal cibicom services a s user mapped wrongly,LOW
service now modify request cr dema problem sr incident,LOW
qipp access to be enabled again,LOW
sslad vdom change belgrade fortigate,MEDIUM
user account is locked,MEDIUM
party partner to access vm on nokia nesc cloud,LOW
request to become member of the swbuild group in ultima,LOW
support portal xavier hinfray orange com account issue,LOW
it corner concierge,LOW
dp issue failures for amer bs gp ct alliance dev no backup,HIGH
fnokia mcg capex sync sapim and workflow tool,LOW
proxy script stopped working,HIGH
active directory and citrix,MEDIUM
srm issue extreme latency,MEDIUM
kasthuri rajujalajakshi otsuka us com fw sps customer interface notifications,MEDIUM
telephone conferencing for office,MEDIUM
software fmo performance issue,LOW
p nun nokia x force premium internal connection to host categorized as botnet cnc,MEDIUM
case handling ch capm not able to approve reject the page is not loaded,LOW
laptop hang and can t proceed to windows,LOW
software laptop reimage request due to system crash,LOW
it corner concierge,LOW
impossible to update so line calendar error,LOW
spc quality monitoring,MEDIUM
request incomplete fulfillment of service request,LOW
p nun nokia security risk found on host,MEDIUM
sap user access,MEDIUM
hvd unable to open desktop,LOW
jabber phone services unable to connect to phone services,LOW
cannot login support portal,LOW
mobile phone network issue,LOW
unable to log into cares remedy application,MEDIUM
requesting access permission to ee jira,LOW
product variant issue,LOW
lvm could not read from the boot medium system halted,LOW
ba missing vkoa combination,MEDIUM
can t open sharepoint document,MEDIUM
pressing alt gr s with polish programmers keyboard layout in submits form instead of typing character,LOW
cannot connect to server emea nsn net net,HIGH
unable to access virtual pc,LOW
auto gm bharti bal mo gujarat pur,LOW
can t login to remedy application,LOW
filesystem zones root sunwnative platform overutilized guest ldom,MEDIUM
fi unable to reset password via self service,LOW
microsoft active directory account disabled,MEDIUM
ms teams cannot access the camera of my pc,MEDIUM
vpn remote access,LOW
cannot access to cares zoe savvaki vodafone com,LOW
cdb alignment has not been triggered automatically for the contract bih,LOW
fwd jay cheng overdue trainings in elearn,MEDIUM
some reason these email account domain name changed to microsoft,LOW
jabber phone services call feature is not working,LOW
hardware laptop does not have bluetooth anymore,LOW
user yunusemre begec iris tele com – – login issue,LOW
it corner concierge,LOW
nokia ff support atlas wo ita,LOW
software fmo issue with opening a pdf file,LOW
not possible to activate care tool for mar,LOW
wireless cannot connect,LOW
p nun nokia security risk found on host,MEDIUM
p nun nokia authentication repeat windows login failures,MEDIUM
screen is stuck at lenovo page,LOW
apac pfizer com cpqsmselftesterror intel,HIGH
issue accessing the blr lab control pcs,LOW
sd no info network issue unreachable external secured access,HIGH
it corner concierge,LOW
functional mailbox in functional mailbox unable to send emails,MEDIUM
vpn user cannot connect using cisco anyconnect,LOW
edi feed from alpim to enovia,LOW
extend user access,MEDIUM
it corner concierge,LOW
aled update company type globalhitss,LOW
it corner concierge,LOW
update external table,LOW
it email threat subject la spedizione è stata confermata ritm opened related to,MEDIUM
local virtual machine installation issue,LOW
certificate validation failure using rsa and mfa to authenticate,HIGH
rdnet vrf routes to nsb lab vrf unknow routes,LOW
gr user access,MEDIUM
microsoft teams is not working in phone,MEDIUM
gr assign roles,MEDIUM
account enable request,MEDIUM
it corner concierge,LOW
rp nsa unix request,LOW
pfizer com logmonitor veritas sf vxvm failure escalate and investigate issues asap unix syslog pfeunix veritas vxfs vxvm solaris zone host,HIGH
sap access for denis avdoshin,MEDIUM
can t sign in to skype for business,MEDIUM
software center anyconnect is stuck in uninstalling,MEDIUM
issue unable to reinstall sap application in software center,LOW
emea pfizer com cpqheflttolpowersupply intel,HIGH
software fmo pc performance slow,LOW
it request roles in order to perform changes on request to change my personal data,MEDIUM
user role switch highest priority,CRITICAL
hu quality system,MEDIUM
new pre stage bins creation,MEDIUM
re priority has been assigned to you user account form approved sharon reagan otsuka us com grams credo,MEDIUM
support portal rajangupta libertyglobal com account issue,LOW
sso error user cannot login to portal nikolay h ivanov bg,LOW
ars on will not load and ars on loads but will not respond after loading,HIGH
can t add log to any ar,LOW
unable to resolve anything using dallas and chicago cloud,HIGH
importing favorites to new laptop from old laptop,LOW
collaborators pwd reset,LOW
internet intranet not accessible over vpn,HIGH
fi sharepoint unable to open excel with power bi,LOW
office activation issue ms office not activated,LOW
re incident has been closed,MEDIUM
request incomplete fulfillment of service request,LOW
unable to open firefox,LOW
sap log on pad not responding,LOW
sa to check access on account gjunaidi on domain emea lucent com,LOW
jira access issue please provide rights jira access for netact issues,LOW
zscaler issue and user account,HIGH
request to load tahio sample data into sas grid,MEDIUM
john gnall s allentown territory alignment issue please assign it to comm orion,MEDIUM
account disabled chopade cw tilesh,MEDIUM
otsuka document portal odp issues empty space,MEDIUM
fw jynarque destination link misspelling,MEDIUM
p nun nokia recon aggressive local scanner detected,MEDIUM
mass update issue,LOW
hvd is extremely slow,LOW
active directory and citrix,MEDIUM
de jabber call quality,LOW
ch block sender domain,MEDIUM
be laptop slow performance,LOW
jabber could not login to phone services,MEDIUM
jabber login unable to log in,LOW
connection for oss user based on inc,MEDIUM
support portal access to product documentation related with ticket,MEDIUM
windows v upgrade reboot loop issue after upgrading to,LOW
lost read write access to au alcatel lucent com corp ppt forecast tool,HIGH
upload max strike rate file,MEDIUM
p nun nokia exploit multiple exploit types against single destination,MEDIUM
treatnow eligibility debbi spitler hcp is in need of samples,MEDIUM
it corner concierge,LOW
please retrigger the pdf and csv file for po,LOW
p nun nokia soar security risk found on host,MEDIUM
sap access for,MEDIUM
seval antikhotel com,MEDIUM
user unable to access orion,MEDIUM
faults wareless adaptor,LOW
sap crm om sap account unlock password reset,LOW
jabber phone service issue,LOW
fw notification contract worker record deactivation in one month,HIGH
fnokia hardware laptop data back up failed during windows upgrade,MEDIUM
mfa not receiving any verification call to be able to connect to vpn,LOW
user junshan li zayo com unable to access cares as checked it s in approved services,LOW
p nun nokia recon excessive firewall denies from local host,MEDIUM
user is not able to login to wingspan,MEDIUM
please create policy and apply it to all users in bulgaria ou in ad,CRITICAL
cz user access for plant manager coin,CRITICAL
user michael gandiyah vodafone com facing sso login issue,LOW
software fmo failed to install image,LOW
jabber other unable to access,LOW
nokiameetings mc webex recording recordings made last year were lost,LOW
software center unable to install cisco anyconnect,MEDIUM
software fmo ctrl alt del is not responding,LOW
user swapped territories and still seeing old one,MEDIUM
emea pfizer com down intel,HIGH
snmpagent pfizer com notresponding solaris zone,LOW
fw please remove affiliations ana popoca log,MEDIUM
ipad is not responding,MEDIUM
mc webex meeting center camera not working in webex call,LOW
please run an eept db report equivalent of the eept invoice detail report for the sprint group,LOW
triggering alerts for cpu utilization for dr server amer pfizer com,LOW
it corner concierge,LOW
unable to access sharepoint list form spotfire dashboard,MEDIUM
dynamics requests and issues,LOW
pfizer com down unix,LOW
edge update issue,LOW
p nun nokia botnet successful inbound connection from a known botnet candc,MEDIUM
sap incident process chain failures bwp group,LOW
software fmo unable to install nokia image,LOW
transfer the feeds from fdi to ctms today,LOW
new mandatory field in create screen,LOW
gwc warsaw pbx unable to reach gurgaon pbx numbers,MEDIUM
teams disabled enable video button,LOW
laptop fan error when turning on the computer,LOW
severity change restriction error from incident in a problem,LOW
request for microsoft teams installation,LOW
user hichem aydi nxt com tn – repeating password issue,LOW
no details learning and developmennt hub several issues,LOW
please add under net,LOW
temporary user creation,CRITICAL
site unable to generate order preview odm,LOW
additional ad user for party,MEDIUM
sf support ticket certification user record errors,LOW
carma not launching,LOW
ro ad access,CRITICAL
urgent request eip ebox sap sync error issue so,LOW
teams other concerns,LOW
webcam does not work in microsoft team app,LOW
nam plant error material is not copied from bill of material,LOW
can t change password in pwc tool,LOW
support portal unable to acces cares,LOW
p nun nokia authentication repeat windows login failures,MEDIUM
it corner concierge,LOW
bitlocker bitlocker is always asking for drive recovery key,LOW
ch email account access,MEDIUM
vpn remote access,MEDIUM
software fmo trust relationship issue,LOW
software center application list is empty missing not opening,LOW
laptop pass update,MEDIUM
ca rcpman home dir is not mounted in which prevents now rcp classic automated pipeline,LOW
re ioc s from phishing emails review,MEDIUM
rp nsa unix request,LOW
czsk dme opex drivers reload,CRITICAL
cisco anyconnect cannot be reinstalled,LOW
it corner concierge,LOW
camera is not working on microsoft teams,LOW
hospira corp down intel vm guest,LOW
orion missing lower shore pharmacy inside salesforce to match orion javelin,MEDIUM
vpc screen is black,LOW
delete pl cooler placement expert and pl cooler removal expert in production,MEDIUM
it corner concierge,LOW
facing image issue,LOW
pfizer com logmonitor linux errors escalate and investigate issues asap unix syslog pfeunix linux errors linux,LOW
laptop keeps on turning off and on issue,MEDIUM
laptop camera is not working intermittently,MEDIUM
fnokia support portal user maged galal nokiasaudi com getting sso error – web login service – login failed,LOW
need a privilege account pa susundar so user can be added to server,LOW
onedrive sync issues,LOW
citrix certificate error,MEDIUM
nokia sent a new purchase order,MEDIUM
network lan are disconnected no connection,HIGH
exclusion mandatory comment box delayed loading or not loading at all,LOW
crm access for user,CRITICAL
cz lyreco access,MEDIUM
case request to update manager name under company information section of the profile page,LOW
incident ms teams issue,MEDIUM
add e mail addresses to distribution list hr conference participants cchellenic com,CRITICAL
outlook icon and the center software icon disappeared,MEDIUM
ms teams error when installing on mobile phone,LOW
critical intel thunderbolt software and firmware updates are missing,LOW
listserv issue not receiving any email sent to telefonica ran list nokia com,MEDIUM
delete shipment id,LOW
p nun nokia system device has stopped sending events offense generation,MEDIUM
unable to login to,LOW
p nun nokia x force premium internal connection to host categorized as malware event type,MEDIUM
open ticket pls aled key registration request luana muresan nokia com,LOW
unable to access server,MEDIUM
planon authorization for user,MEDIUM
nokiameetings webex there is no content to view at the moment error displayed in the screen of a recording,LOW
uonis algaedi cw otsuka us com security alert signon from new device,MEDIUM
bg bt sddecisiontable,MEDIUM
isolation of legacy systems in ote saz,CRITICAL
amer pfizer com down intel,HIGH
software fmo desktop notification issue,LOW
it corner concierge,LOW
lost my access to adobe acrobat,HIGH
it corner concierge,LOW
adria kus hpqc access,MEDIUM
office unable to access one note files,LOW
software hardware windows laptop s battery issue,LOW
no vpn access,LOW
mass update for testcase settings,LOW
cir not getting succeeded,LOW
requesting write permission,LOW
mfa unable to receive call,LOW
pl sales orders access,MEDIUM
cares cares id modification and permission change,LOW
us sap srm application stopped due to a critical rendering error,LOW
issue roaming data issue,MEDIUM
snmpagent pfizer com notresponding solaris branded zone,LOW
create gl for in bp,LOW
transfer hierarchical approver role to sr,LOW
it user closed by mistake the day reopen day in ifsa,CRITICAL
vpn remote access nra emea fi esp vip net nokia com intermittent connection failure,LOW
brazil billing invoice,LOW
nokia nols id could not be authenticated,MEDIUM
de software center stuck in installing,LOW
spc quality monitoring,MEDIUM
pfizer com down solaris zone,LOW
software fmo remove computer information on desktop screen,LOW
it corner concierge,LOW
still has a failed hd related to,MEDIUM
syncing my support portal production account with support portal qa,LOW
nokia ff support wo delivery confirmation rejected,LOW
elearn not available in the app,MEDIUM
it corner concierge,LOW
hardware laptop charger not working,LOW
bd unable to access hvd,LOW
re process edi orders,CRITICAL
not monitored by sl,LOW
pl merge mailboxes,MEDIUM
hardware hardware ac adapter is not working,MEDIUM
jabber pc unable to login,LOW
it ad roles request,MEDIUM
hr sap access to,MEDIUM
unable to install jabber,LOW
software fmo applications freezing issue,LOW
certificate validation failure,MEDIUM
software fmo bluetooth device power failure error,MEDIUM
needs to be closed,LOW
received email to reset password for atlas training password from salesforce admin,MEDIUM
it corner concierge,LOW
local udb server decommission,MEDIUM
created zoom account for user,MEDIUM
vpc user is unable to access vpc using ipad,LOW
follow me printing not working,LOW
visio installed but could not view,LOW
it corner concierge,LOW
ndpd project migration failure,LOW
some of the saved files that are excel are only read only that are his files that he created,MEDIUM
admin credentials question,MEDIUM
unable to perform year end closing for f,LOW
please grant users access to roles in erp,MEDIUM
it corner concierge,LOW
wah unable to login,LOW
getting logged out of siteforge again and again,LOW
p nun nokia authentication repeat windows login failures,HIGH
fi software request for power bi pro,LOW
hardware laptop screen went dark,MEDIUM
please provide access to marika laskari mailbox to georgia kagkalou due to taking over marika s responsibilities,CRITICAL
need help in monitor model to purchase,MEDIUM
pl ticket stuck,CRITICAL
spc quality monitoring,MEDIUM
it corner concierge,LOW
outlook message stuck in outbox,MEDIUM
it corner concierge,LOW
it corner concierge,LOW
mfa unable to change primary callback,LOW
add nfs share to the hpc automounter,LOW
issue unable to login into jira dc,LOW
nokiameetings unable to schedule webex meeting,LOW
zachary baudoin cw otsuka us com please fix rlp count filters and frequency noti is sent,MEDIUM
snmpagent pfizer com notresponding intel vm guest,LOW
server needs to be rebooted application down,LOW
eflow installation to new ic user,MEDIUM
user predrag gvozdenovic three co uk user not able to raise a nct case in nols,LOW
the user is calling stating that they need a password reset,MEDIUM
pdf compare tools,MEDIUM
italy sales rerouting,MEDIUM
software fmo pc not registered error,MEDIUM
bso sap accesses for,CRITICAL
unable to connect to nosi,LOW
user not listed to reqeust install nokia pc,LOW
it corner concierge,LOW
rs enable account after long absence,MEDIUM
coiprod access request,LOW
no subject user s home folder is lost,LOW
ro add user to ad group,MEDIUM
software fmo mouse not working every time system reboots,LOW
set french as default keyboard option,MEDIUM
can not download software,LOW
odp outlook problems,LOW
access to mailbox talent ru talent development cchellenic com,MEDIUM
sap bpp unlock account,LOW
p nun nokia exploit multiple exploit types against single destination,MEDIUM
dk pc unable to complete pc installation getting error to order again installation,LOW
microsoft active directory account unlock,MEDIUM
cm hardware broken screen,LOW
some issues of installation i need your support,LOW
p nun nokia single infection single host virus clean failed symantec,MEDIUM
cn laptop crash cannot access software and applications,MEDIUM
software fmo issue with the update,LOW
re ctn db lock,MEDIUM
dual monitor setup stop working,HIGH
user thierry bassani sbb ch – repeating password issue,LOW
bpp image opening issue,LOW
software onsite assistance for os upgrade if possible,LOW
eris channel partner displayed incorrectly,LOW
re testing for canada,MEDIUM
new hpqc user for mdm platform,MEDIUM
not able to create site code,LOW
add to groups,MEDIUM
it firewall on,LOW
user jessica evans centurylink com getting error when trying to submit rmas in the portal,LOW
rp nsa unix request,LOW
my computer n has no bluetooth second occurrence,MEDIUM
vpn remote access,MEDIUM
re priority has been assigned to you user account form approved hi nakagawa taiho co jp nakagawa hiroyuki grams credo,MEDIUM
can t login to https acos alcatel lucent com,LOW
it recover ad object computer urgent,CRITICAL
i m no longer able to contact my cloud machine,LOW
reg vpn login error,LOW
edge chromium is not working for enovia plm qa,LOW
not able to connect to lotus note certificate expired,LOW
fnokia lawson psa create resource profile user login and start mass idr request,LOW
need demand management access,LOW
rors maintenance in alliance scm core p,LOW
access for vidhyadharan p r nokia com,LOW
czsk personall certificate for remote access for,CRITICAL
cy bpm derivation table stc ccaf replace,MEDIUM
issue with compliancewire training,MEDIUM
unable to fetch license for dxdesigner in local machine,MEDIUM
sign in problem,MEDIUM
jabber sso i cannot able to login to jabber,MEDIUM
software center application list is empty missing not opening,LOW
ng create lotus notes,MEDIUM
hu gombás lívia,MEDIUM
ug pc error not able to install cisco anyconnect from software center,LOW
lu code hours not transferring from lawson to qtc,LOW
urgent fccs actuals automated data load error in file naming out of sap bi urgent,MEDIUM
the computer from our collegue doesn t turn on off its look like dead his phone number is name thiago andrade thiago andrade nokia com,LOW
tf engine forcing congifuration recording costing us day,MEDIUM
ch airwatch account for user kevin sandtner,MEDIUM
bso coin accesses csc team,CRITICAL
nokiameetings mc unable to record meetings hosted by others,LOW
gerrit rest api returns error,MEDIUM
fnokia support portal user allen yates sacw com getting error sso – user cannot be created,LOW
user nidal elhrisse uscellular com getting error sso – user can not be created,LOW
computer won t start up power light is on but nothing s showing on the screen,LOW
it corner concierge,LOW
we are unable to login to the server,MEDIUM
p nun nokia proactive recurrent infection clean failed symantec,MEDIUM
jabber connection to phone service failed,LOW
unable to launch sap log on pad,HIGH
tr cares tool permission to view nato ar,LOW
ipad outlook setup,MEDIUM
jabber phone services connection to phone service failed,LOW
c bitlocker drive encryption is suspended,LOW
jabber phone services call feature is not working,LOW
bitlocker unable to change bitlocket pin manage your pin missing,LOW
software the security database does not have a computer account for this station trust relationship,MEDIUM
nokiameetings mc webex recording is not yet available,LOW
netwrix auditor inactive users in active directory report mocr otsuka com,MEDIUM
active directory and citrix,MEDIUM
outlook functionality does not always manage to regroup messages as conversations,LOW
ms visio viewer unable to install,LOW
wrong quantity value,LOW
software fmo bsod,LOW
surface pro tablet,MEDIUM
jabber login issue in phone and when outside vpn,LOW
p nun nokia ssl exploit detect from host,MEDIUM
p nun nokia multiple login failures from remote ip to gui firewall managment,MEDIUM
es mytelekomservices request related,LOW
audio driver error,LOW
cc group name,CRITICAL
create new locations and new tax groups,MEDIUM
project membership ownership,MEDIUM
gr webex recording issue,LOW
brazil billing invoice blocked,MEDIUM
red team training ipad setup,MEDIUM
it corner concierge,LOW
access to support portal,LOW
it corner concierge,LOW
party access for ortec,MEDIUM
precios irm modificacion item erroneo,LOW
corporate intranet password cip creation failed,LOW
svn unable to connect to a repository at url https china nsn net net,LOW
outlook portal access emails going to deleted folder,MEDIUM
unable to access the link http tiger in alcatel lucent com cru,LOW
very urgent lea server not working again,MEDIUM
not seeing user in elearn admin or ars,MEDIUM
laptop unable to detect external monitor,LOW
pre call planning dashboard not available for all account,MEDIUM
line is not added for gic in contract in cdb yet care contract no,LOW
request incorrect incomplete fulfillment of service request,MEDIUM
wrong mobile number showing the systems,LOW
urgent nokia factory ra dt started,LOW
it corner concierge,LOW
sg starhub rti issues so po data not populated after idocs re sent twice,LOW
pfizer com logmonitor flasharchive failure escalate and investigate issues asap unix log pfizer flasharchive pfeunix flasharchive errors solaris zone host,LOW
new np treatnow needs a certification to get sampled,MEDIUM
user greg spaulding transcore com – – login issue,LOW
it corner concierge,LOW
alliance other issues,LOW
support portal nols service not available,LOW
unable to login to bmc remedy using preference server,LOW
unlock closed days,MEDIUM
software center not working,LOW
kronos i can access the webpage but when i try to use it it just keeps on loading,LOW
customer nokia com does not have intermediate ca certificate digicert global ca configured,LOW
p nun nokia recon excessive firewall denies from local host,MEDIUM
it corner concierge,LOW
p nun nokia system device has stopped sending events offense generation,MEDIUM
ca sharepoint issue on sharepoint controlled library site timeout limit,LOW
es sap bpp when exporting to excel taking user back to login page,LOW
gr assign roles,MEDIUM
unable to login to bmc remedy,LOW
active directory and citrix,MEDIUM
activate inv for utenos prekyba,MEDIUM
access sequence zfrt additional level,MEDIUM
it corner concierge,LOW
dp issue failures for apac bs gp ct,HIGH
functional mailbox shared mailbox issue ref,LOW
unable to connect tsm instance on server,HIGH
please grand access in shared mailbox supplier support cchellenic com,MEDIUM
user soporte aem mail telcel com unable to download the products swst,LOW
please provide dustin hindmarch with adobe acrobat pro,MEDIUM
unable to login to windows,LOW
secondary account is not ready after approval is given,LOW
missing net elements in nct for contract fra,LOW
elearn pin reset,MEDIUM
it please unlock user since her id expired by mistake,CRITICAL
addition to dl,MEDIUM
sp account locked,MEDIUM
sd no info ipsec vpn connectivity between and broken,HIGH
amer pfizer com cpqsmselftesterror intel,HIGH
delivery not possible to update the batch when creating the delivery,LOW
pb with for soc environnement no localdisk present,LOW
wifi vpn issues,LOW
unable to access citrix due to cert issues,MEDIUM
hp printing devices are switched off,LOW
remove people from role,LOW
pfizer com logmonitor flasharchive failure escalate and investigate issues asap unix log pfizer flasharchive pfeunix flasharchive errors unix,HIGH
mls settings for,LOW
it corner concierge,LOW
hosted virtual desktop applications issues,LOW
reverse changes from,MEDIUM
one drive for ipad n laptop,MEDIUM
software fmo task secquence error,LOW
hardware mouse cursor not working properly,LOW
unable to login to sandbox veeva account,MEDIUM
the mentioned user account needs to be corrected in sp backend,LOW
blue screen of death issue,LOW
patch installation failure,LOW
import to q,MEDIUM
remove user group assignment according to consolidatedgroup removed csv and setup user vakkoc and vmoreno according to consolidatedgroup csv,LOW
quota have been reduced without the request for ca hwsct,MEDIUM
p nun nokia multiple infections single host clean failed preceded by p nun nokia single infection single host virus clean failed symantec,MEDIUM
account reconciliation issues,LOW
hardware computer is not displaying anything,LOW
it corner concierge,LOW
unable to hear audio from callers in teams,MEDIUM
not possible to delete stack,MEDIUM
mail delivery from nokia com to toothless emea nsn net net stopped working,MEDIUM
no gateways available,LOW
unable to access https nokia sharepoint com sites sitepages home aspx,LOW
sap application issues,LOW
jabber other unable to send and receive chat,LOW
gq edms user access request new account request blanchet elise,MEDIUM
software fmo installation issue,LOW
it corner concierge,LOW
potential network slow connectivity on both wireless and wired,LOW
user jb conscia com – – login issue,LOW
ro access to the shared mailboxes,MEDIUM
unable to log in to alpim,LOW
account was disabled aneel kanuri cw,MEDIUM
fw separation notices request,MEDIUM
network drives missing from server,HIGH
case approver in concur is different than the line manger,LOW
mfa unable to login to mfa and vpn passcode not accepted,MEDIUM
problem to connect to any us telecom provider cell phone,LOW
hr sap password reset,CRITICAL
unable to launch outlook on hvd,MEDIUM
not able to find the cr and getting an error when click on cr id,LOW
unable to log in to support portal,LOW
please grand access for users and in to manager openscape contact center for view call data,MEDIUM
gr sap access,MEDIUM
update monster table for cyprus,CRITICAL
it corner concierge,LOW
ro please authorize stefan stroe to q portal,MEDIUM
unable to grep package https talko int net nokia com packages details php package id,MEDIUM
jabber phone services phone services isn t working,MEDIUM
argus user configuration information request,MEDIUM
srm page inaccessible,LOW
pfizer com cpqfcahostcntlrstatuschange intel vm host,HIGH
hardware issue motherboard failure,LOW
p nun nokia source trying to visit malicious domain,MEDIUM
support portal unable to see iso images,LOW
idm hr terminated week hr id doesn t exist,CRITICAL
gr reload of dme rules gr cy,CRITICAL
i can t login,LOW
ba blacklist spam,MEDIUM
create sales district,MEDIUM
access in q system,MEDIUM
nokiameetings use case selected or exact description of the issue,LOW
mobile subscription and teams,LOW
it corner concierge,LOW
patching issue partially result for,LOW
pt pc install issue,LOW
rs dynamic to public group,MEDIUM
spoc africa unable to access zambia malawi oss through elan gdc chennai emergency lan outage,HIGH
latency in sap,HIGH
routing from murray hill nj to cypress waters tx,MEDIUM
assign roles for servise now and portal,MEDIUM
hospira corp down intel vm guest,HIGH
http www nokia com en int about us career page not found,LOW
head supply chain finance,LOW
change e mail address supplier sd worx gmbh,LOW
adobe login fail,MEDIUM
pc issues re your ticket has been solved,LOW
user jacks itts com tw – repeating password issue,LOW
webex unable to setup meeting,LOW
fr hardware keyboard issue,LOW
microsoft active directory account unlock,MEDIUM
mic problems on calls,LOW
it corner concierge,LOW
dhcp reservation x,MEDIUM
please delete computer account ad in the global zone for hpc ws hostname,LOW
software fmo pxe error,LOW
check the quality environment ipaas,LOW
capacity of jakarta vpn gateway,LOW
certificate validation failure,LOW
eura connection fault internet working scenario not connected using another vpn gateway,LOW
sap access for aleksey silukov,MEDIUM
sap installation stuck in,LOW
items in a lawson timesheet are stuck in submitted and approved state so timesheet is still submitt,LOW
filesystem export overutilized guest ldom,MEDIUM
ci rules manual updates for,CRITICAL
transaction code f function in bpp,HIGH
it corner concierge,LOW
siteforge other issues,LOW
po stuck in sending action,LOW
rp nsa unix request,LOW
sf ticket psros not available in alliance,MEDIUM
vpn remote access,MEDIUM
sd no info time clock network down us sunnyvale,MEDIUM
ru mailbox client issue,MEDIUM
hospira corp down intel vm guest,LOW
microsoft teams training,MEDIUM
gb hvd cannot start,MEDIUM
russia moscow server replacement,MEDIUM
invoice release from bbh,LOW
cronos page not loading for most users and slow for the remaining ones,LOW
it corner concierge,LOW
it corner concierge,LOW
automated messages from account that will be disabled,CRITICAL
be pc unable to complete software installation from software center stuck at progress for long time,LOW
pc hardware laptop battery concerns,LOW
icm please reset my icm account password,LOW
all check list on ndpd can t save all and update,HIGH
issue saving work in ecosystem,MEDIUM
active directory n termination for proper owner assignment,LOW
support portal telenor users mapped to the wrong company,LOW
re activate company email address for,CRITICAL
vpn failed to load preferences,LOW
vpn keeps reconnecting,MEDIUM
it corner concierge,LOW
cdb ipaas production down unable to sync contracts,MEDIUM
service request nosi certificate creation,LOW
my touch pad is not working sometimes,LOW
hardware charger is not charging and one of the usb ports on laptop does not recognize any usb device,LOW
office wlan wifi connectivity,MEDIUM
sap log out issue,LOW
vpn issue certificate validation failure,LOW
amer pfizer com cpqclusternetwork intel,HIGH
hr sox rda access supplementary pay,MEDIUM
software fmo laptop is randomly hanging after windows update,LOW
clonecode from gerrit to hz eda error,LOW
incident deletion background job not working,LOW
connection to lterel es si eecloud nsn net net is slow,MEDIUM
p nun nokia system device has stopped sending events offense generation,MEDIUM
re inquiry regarding gps user account request,MEDIUM
cz block email sender info surtep eu based on,MEDIUM
vpn remote access,MEDIUM
does not work correctly,MEDIUM
it corner concierge,LOW
emea pfizer com down intel,LOW
p nun nokia exploit multiple exploit types against single destination,MEDIUM
master data management mdm,MEDIUM
nfs stale mount point reboot,LOW
ch storage space increase and further checking,MEDIUM
week srm nrft sheet,LOW
it corner concierge,LOW
salesforce log in,LOW
nokia procurement category manager role needed,LOW
sap access for polina remizova,MEDIUM
p nun nokia recon aggressive local scanner detected,MEDIUM
create new security group ic kam ru,MEDIUM
issues with load balancers,MEDIUM
hardware keyboard functionality,MEDIUM
ng reset of microsoft authenticator for a user,MEDIUM
ms visio pro install request,LOW
jabber phone services no phone services available,LOW
i cannot print out the documents from gq edms,MEDIUM
unable to access to aslm,LOW
ssl vpn unable to login,LOW
office missing emails unable to receive specific emails,LOW
problem installing a software ras client,LOW
sap authorizations konstantinos tseronis,CRITICAL
create group of confluence users,LOW
eija saari team e mail does not open,LOW
i ve lost access to download content under vitalqip appliance manager am,LOW
rdp lost ndc lucent com,HIGH
mailbox unable to access owa unable to access nokia webmail,LOW
fnokia sbm invocation error from worklist,LOW
user locked herself out,MEDIUM
lawson time not flowing to qtc,LOW
it corner concierge,LOW
synch support portal production account with qa,LOW
sap re aeqz allocation,LOW
newly created confluence space does not allow admin to save new page,LOW
bitlocker bitlocker drive recovery key did not work the second time,LOW
outlook other unable to send e mail to onenote,LOW
elearn pin reset,MEDIUM
fnokia jabber login unable to log in if not connected to vpn,LOW
script importação efd fiscal,LOW
ipad navigation issue,MEDIUM
cares resolve date and restore date fields are blank,LOW
network connectivity issues,LOW
change company details for user triantafyllos t xourafis pan net eu,LOW
digital people management,MEDIUM
it corner concierge,LOW
all bookmarks gone after microsoft edge upgrade,MEDIUM
fw request for mailbox account add delete,MEDIUM
it corner concierge,LOW
it corner concierge,LOW
unable to install nokia windows image in oracle virtual box,MEDIUM
jabber phone services unable to call external number,LOW
jabber other mobile app phone services not connected,LOW
bitlocker recovery key,LOW
request incomplete fulfillment of service request,LOW
unable to log into laptop,MEDIUM
lt rerouting stop automatic visit generation,MEDIUM
error after log in to the virtual pc,LOW
it corner concierge,LOW
apac pfizer com down intel,HIGH
update file ownership,MEDIUM
it corner concierge,LOW
issues accessing ports between clouds,MEDIUM
need to view the netprice of a po for my hera report verizon sacw pos from qtc,LOW
ci rules for bu adria countries,CRITICAL
om profiles parameters query groups for dmitriy degtyarev,MEDIUM
how to handle magicdraw access request,LOW
